gene;p_val;avg_log2FC;pct.1;pct.2;p_val_adj
DDX17;2,33925451861314e-39;0,526692687721077;0,959;0,862;4,21627234434832e-35
DST;4,43693187864434e-39;0,516203186671531;0,584;0,262;7,99712601806856e-35
SRSF6;5,53507571484117e-39;0,546036937487446;0,664;0,359;9,97642046842972e-35
NDUFA13;7,18177268779706e-39;0,509224822016400;0,914;0,808;1,29444270924854e-34
TSPAN3;1,25007350172159e-38;0,527136688402426;0,904;0,772;2,25313247950299e-34
MYBPH;1,48341657549072e-38;0,662916110261073;0,973;0,900;2,67371003566447e-34
NDUFA1;3,33473841227994e-38;0,501441320115360;0,904;0,762;6,01053251429337e-34
RPS27;3,97852977373285e-38;-0,326043486204163;1,000;1,000;7,17090206417609e-34
PDLIM3;5,18155492071145e-38;0,543836029294175;0,592;0,264;9,33923458909031e-34
MAGED1;1,10340990978714e-37;0,488061018829628;0,937;0,848;1,98878602140035e-33
SRRM2;2,80713062342044e-37;0,542202920302170;0,820;0,593;5,05957223565300e-33
S100B;5,53929913070728e-37;0,660078399233180;0,418;0,133;9,98403275318680e-33
OAZ1;1,00778478272898e-36;0,457449232718163;0,968;0,870;1,81643129239071e-32
HNRNPA2B1;1,09707012207839e-36;0,493122706369660;0,977;0,926;1,97735918803409e-32
AL355075.4;1,29137508213601e-36;-0,490488938537668;0,044;0,251;2,32757444804194e-32
CACNB1;1,32355802277656e-36;0,676303742658717;0,619;0,346;2,38558098025248e-32
ANK2;1,68336492713393e-36;0,501597281681125;0,660;0,356;3,03409694466620e-32
LDB3;2,01415635494250e-36;0,677896112346060;0,524;0,226;3,63031541414837e-32
SRSF5;2,38387155711885e-36;0,564179218315666;0,776;0,538;4,29669009455101e-32
PENK;2,56354024692930e-36;-0,702639277986931;0,210;0,503;4,62052494106536e-32
COL3A1;3,07079918641483e-36;0,530439977138506;1,000;1,000;5,53480845359410e-32
MALAT1;3,80777727982462e-36;-0,586643351465008;0,788;0,931;6,86313776915590e-32
FAU;4,41008569893848e-36;0,368572720330207;1,000;1,000;7,94873846376672e-32
GPM6A;1,04592010679045e-35;0,504731001555726;0,357;0,084;1,88516640047911e-31
MYL4;1,11454505662935e-35;0,600697492325917;0,951;0,857;2,00885601006875e-31
ANKRD10;1,21457732172694e-35;0,548232790315104;0,621;0,318;2,18915416468064e-31
SUGP2;1,28067250194957e-35;0,520063656327196;0,560;0,259;2,30828411751390e-31
GPC1;1,31515280123125e-35;0,516347426315603;0,755;0,459;2,37043140893920e-31
AC132217.1;4,13505445040271e-35;-0,601875877783243;0,476;0,726;7,45302214140584e-31
RTF2;6,93873932452550e-35;0,527801772165193;0,571;0,275;1,25063837585248e-30
MYL6;7,35827089351934e-35;0,418338771762615;0,996;0,987;1,32625474584793e-30
MAP2;1,29181763869360e-34;0,445824089494892;0,443;0,146;2,32837211198135e-30
HSPB3;1,88536746922098e-34;0,618332016794031;0,663;0,370;3,39818632652390e-30
CIRBP;3,39538198304445e-34;0,456425370426878;0,971;0,920;6,11983648623931e-30
ARPP21;3,56126381864698e-34;0,570127327113102;0,559;0,267;6,41882190672932e-30
BCAN;3,60928126904922e-34;0,548934572778684;0,418;0,139;6,50536855933431e-30
LAMA2;9,14296404967551e-34;0,509840349174521;0,439;0,157;1,64792784031351e-29
LAMB1;1,14461312960181e-33;0,593050719223723;0,721;0,480;2,06305070479431e-29
MAP4;1,79118788892409e-33;0,486027513036445;0,713;0,438;3,22843705099677e-29
PHLDB1;3,77871156886811e-33;0,520625052679395;0,549;0,259;6,81074973172789e-29
LRIG1;4,75023090165414e-33;0,536574928722089;0,576;0,293;8,56181617714142e-29
SNRNP70;8,69638389479194e-33;0,536081003753521;0,765;0,541;1,56743623319730e-28
SLN;9,24549649994731e-33;0,712323024135664;0,545;0,264;1,66640828915050e-28
BIN1;1,34624936740729e-32;0,526560114434807;0,901;0,759;2,42647985981490e-28
WDR6;1,42984104607102e-32;0,500509709319140;0,605;0,311;2,57714550143841e-28
COX5B;1,72057049530549e-32;0,432618550695625;0,933;0,802;3,10115626073861e-28
UQCR11;2,35238102015212e-32;0,411967367579358;0,988;0,967;4,23993155072218e-28
SFRP2;2,61066000029201e-32;-0,499774812674835;0,550;0,805;4,70545358452631e-28
TMEM259;6,44413623980597e-32;0,500452064585105;0,624;0,334;1,16149111586263e-27
TPM2;6,59891340591483e-32;0,522632750779614;0,998;0,985;1,18938815228209e-27
TMA7;7,81045408060783e-32;0,402787799861127;0,991;0,967;1,40775624348876e-27
MRLN;1,43681954493553e-31;0,565986864372394;0,584;0,316;2,58972354779179e-27
CKB;1,54592431492745e-31;0,488481841269811;0,932;0,844;2,78637398522523e-27
