gene_name;p_val;avg_log2FC;pct.1;pct.2;p_val_adj
ADGRG1;2,33857160960463e-29;0,822523005128884;0,773;0,473;4,21504146915138e-25
CAMTA1;4,09942649954206e-29;0,619923441095666;0,784;0,459;7,38880632277460e-25
BASP1;4,19920063959679e-29;0,896665891094930;0,922;0,801;7,56863923280926e-25
ACLY;4,93648225483564e-29;0,672789460062311;0,749;0,429;8,89751561611575e-25
ATP5F1E;5,60474453706740e-29;0,467254494557804;0,998;0,997;1,01019915536103e-24
PAK3;7,49415422709559e-29;0,805653883040398;0,554;0,206;1,35074635789171e-24
GTF2I;1,04033682343783e-28;0,570710166267758;0,976;0,912;1,87510309056435e-24
DPYSL2;1,95466634367945e-28;0,649954195067724;0,983;0,932;3,52309061784785e-24
INPP5F;2,02255632998288e-28;0,702310266991695;0,530;0,169;3,64545552916115e-24
PPP2R1A;3,41871855944122e-28;0,575525206705785;0,948;0,872;6,16189833153685e-24
SPTAN1;8,47164093859385e-28;0,637948327689825;0,965;0,878;1,52692856277215e-23
MSMO1;8,48325761398610e-28;0,689375610442860;0,734;0,439;1,52902235234485e-23
BLCAP;1,28352907044225e-27;0,614394788502576;0,862;0,598;2,31343279656511e-23
DKK1;1,45902311357120e-27;-0,512751024558658;0,101;0,372;2,62974325990074e-23
BEX2;1,53546402950626e-27;0,682651681578495;0,797;0,510;2,76752036678208e-23
SDC3;1,73248140014828e-27;0,608735957479009;0,909;0,693;3,12262447562727e-23
DYNC1H1;2,31151445559506e-27;0,617459953661956;0,868;0,652;4,16627365476453e-23
STMN3;2,34395867240885e-27;0,715849141532714;0,807;0,500;4,22475111114971e-23
FDFT1;3,72583918307519e-27;0,588965800371924;0,725;0,426;6,71545254357472e-23
CLASP2;4,08583125202953e-27;0,668695199191405;0,709;0,409;7,36430224865803e-23
UBE2QL1;5,99696569993490e-27;0,773374556733267;0,650;0,334;1,08089309775627e-22
CAMK2N1;7,53274539006829e-27;0,723017326370177;0,755;0,486;1,35770202910591e-22
TXN;7,62398090639743e-27;0,568767289911996;0,888;0,686;1,37414631856907e-22
YWHAH;4,64458078187875e-26;0,750268487632433;0,863;0,652;8,37139240125826e-22
MAP1B;6,33813172428098e-26;0,594441751967425;0,999;0,983;1,14238486198440e-21
SARAF;6,74186099526418e-26;0,581303838938064;0,959;0,889;1,21515302578642e-21
OCIAD1;7,17984228945892e-26;0,578839010581479;0,914;0,760;1,29409477425208e-21
PFN2;8,44569063628432e-26;0,547343339817729;0,946;0,821;1,52225128028389e-21
NDUFA1;9,63759713145135e-26;0,530905366461180;0,927;0,794;1,73708050697279e-21
USP22;1,56023942395860e-25;0,561306271553960;0,935;0,787;2,81217553774298e-21
LSS;1,92301064886433e-25;0,585789110489462;0,652;0,324;3,46603439351307e-21
HES6;2,16715406473253e-25;0,611310086275829;0,641;0,287;3,90607848627391e-21
SREBF2;2,54627589468675e-25;0,588048516568242;0,821;0,568;4,58940767258340e-21
SST;2,56279100249166e-25;0,705349589208630;0,343;0,034;4,61917450289098e-21
MYL6;2,70339599236887e-25;0,442640094397377;0,999;0,993;4,87260093664565e-21
ATP5F1B;3,17412033952653e-25;0,511857071278833;0,975;0,912;5,72103449996261e-21
EVL;3,35289420504882e-25;0,621537743317279;0,935;0,818;6,04325651517999e-21
DDX5;3,43139501395011e-25;0,546144517815331;0,976;0,905;6,18474637314367e-21
HSBP1;7,57148119090364e-25;0,467556170139484;0,965;0,902;1,36468376984847e-20
PTN;7,60155014245526e-25;0,901471451499134;0,988;0,926;1,37010339767614e-20
CLSTN1;8,38955772945666e-25;0,550630418831872;0,928;0,767;1,51213388515727e-20
CNTN1;9,29760885739205e-25;0,631318723116287;0,735;0,483;1,67580102045634e-20
WSB2;9,57004831278837e-25;0,639322527610277;0,667;0,365;1,72490550789698e-20
DCLK2;1,07497216429861e-24;0,606284215318826;0,618;0,307;1,93752982893181e-20
TMOD2;1,68400673474398e-24;0,657751044415567;0,508;0,186;3,03525373870254e-20
PEG10;1,75860203270708e-24;0,667821221083163;0,888;0,780;3,16970430375124e-20
IDI1;3,30605714851052e-24;0,587264441975655;0,647;0,345;5,95883740447535e-20
MAP4;3,54951435095238e-24;0,541315010994007;0,763;0,466;6,39764466615656e-20
AUTS2;4,17539625099354e-24;0,653887931418453;0,609;0,311;7,52573420279076e-20
ATP9A;6,62078369330894e-24;0,627540316562897;0,721;0,419;1,19333005288200e-19
FDPS;6,93067256928351e-24;0,566432034331308;0,719;0,432;1,24918442388766e-19
ANK2;8,19823324011917e-24;0,525677146573617;0,916;0,747;1,47764955919908e-19
ATP5ME;1,25263596386462e-23;0,428071039506569;0,994;0,966;2,25775106126959e-19
TTYH1;1,32849641597529e-23;0,672865941123840;0,712;0,419;2,39448194015385e-19
HOPX;1,62190265812120e-23;0,856192847044670;0,544;0,247;2,92331735099764e-19
PPIA;1,63549212547892e-23;0,446433574633138;0,998;0,986;2,94781100696321e-19
MAGED1;1,70863354566696e-23;0,476045797874203;0,965;0,926;3,07964110271013e-19
SYT4;1,72217058302740e-23;0,757565197057927;0,705;0,405;3,10404025884859e-19
GNG2;1,94039819339663e-23;0,668953457086097;0,742;0,497;3,49737370377808e-19
VSTM2L;2,07794530200970e-23;0,685287748347377;0,584;0,291;3,74528861234229e-19
FASN;2,87900264849511e-23;0,620403411132923;0,766;0,507;5,18911437364759e-19
RUFY3;7,73234065372231e-23;0,550282771213326;0,769;0,507;1,39367707942691e-18
DPYSL5;7,78436957370537e-23;0,611582163819773;0,826;0,574;1,40305477196466e-18
PIP4K2B;8,20336626697925e-23;0,591946996276076;0,705;0,443;1,47857473596034e-18
HOXB3;9,59688966835005e-23;0,583825412570831;0,622;0,331;1,72974339382341e-18
MAL;9,64961672008637e-23;-0,280460227474963;0,026;0,196;1,73924691762837e-18
SOX11;1,07876515382327e-22;0,569177229366791;0,730;0,470;1,94436631325106e-18
MARCKS;1,22172014758219e-22;0,447812500857740;0,992;0,970;2,20202839400214e-18
KIF5C;1,23084793192491e-22;0,668948859858588;0,723;0,459;2,21848031250146e-18
GPC1;1,44100694562862e-22;0,517572320433499;0,725;0,429;2,59727091880102e-18
KIF1A;1,56294314017431e-22;0,622597503748576;0,782;0,541;2,81704871585017e-18
HOXB9;1,58337366181254e-22;0,619941255994451;0,588;0,280;2,85387268805093e-18
C4orf48;1,75491566011351e-22;0,507847687611776;0,951;0,858;3,16305998578858e-18
ATP5MD;2,16536636655063e-22;0,480471097790163;0,975;0,912;3,90285633907086e-18
SNAP25;2,57456081367644e-22;0,679579191959335;0,668;0,355;4,64038841057042e-18
LINC00461;2,62405372075770e-22;0,594153855675457;0,652;0,368;4,72959442629367e-18
GNG4;2,80800173191539e-22;0,631973154990012;0,543;0,220;5,06114232160430e-18
FXYD6;3,82832105262356e-22;0,515045703558150;0,934;0,750;6,90016586524870e-18
FHL1;3,86603708056474e-22;0,529797338430963;0,843;0,642;6,96814523400989e-18
CHCHD2;6,12132562028001e-22;-0,497090089688418;0,245;0,534;1,10330772979927e-17
SCD5;6,34635470331758e-22;0,577326326952649;0,719;0,473;1,14386697172596e-17
ADCY1;7,01773291672189e-22;0,577227816044257;0,522;0,220;1,26487618090995e-17
NRCAM;7,35521570833941e-22;0,564280914891309;0,475;0,169;1,32570407927110e-17
PAMR1;7,77829827012663e-22;-0,676866153441223;0,297;0,591;1,40196048020762e-17
SLC38A1;8,06941413055324e-22;0,572622377641168;0,566;0,267;1,45443120289092e-17
HOXB-AS3;8,31822410657748e-22;0,542734712517936;0,524;0,206;1,49927671296953e-17
SAMD11;8,54148212757366e-22;-0,725899723420926;0,342;0,608;1,53951673867388e-17
PACS2;8,73039253304737e-22;0,533030528606393;0,687;0,392;1,57356595015646e-17
KCNJ2;1,32404110892961e-21;-0,281456484481516;0,036;0,213;2,38645169473472e-17
COX5B;1,48828712939755e-21;0,483523485854287;0,929;0,804;2,68248872202614e-17
ZMIZ1;1,70162788085567e-21;0,602337564593403;0,731;0,483;3,06701409245427e-17
CALM3;1,75833101456908e-21;0,545528621054746;0,942;0,851;3,16921582065931e-17
CHD3;2,43296610023681e-21;0,546853453513528;0,665;0,389;4,38517809906683e-17
RPS6;3,10901239271994e-21;-0,492007031887385;0,998;1,000;5,60368393663841e-17
MAP7D1;3,76007720881352e-21;0,555067688428720;0,733;0,453;6,77716316116548e-17
