gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
PPP2R1A,2.535374430828168e-20,0.5472267147187038,0.948,0.899,4.55987091384446e-16
HSP90AA1,2.7674926246735265e-20,0.5436360454471205,0.987,0.952,4.977335485475338e-16
MYL6,2.7957953111838514e-20,0.4552001179428453,0.999,0.995,5.0282378671641565e-16
BEX3,3.3262019807380425e-20,0.5246882177841212,0.994,0.986,5.98217426235737e-16
NDUFA1,3.715873666274737e-20,0.5249754285280355,0.929,0.793,6.682998788795115e-16
LSS,4.2226752151247666e-20,0.5789161464290831,0.653,0.303,7.594481374401892e-16
S100B,4.2283760609196015e-20,0.8106501141472235,0.462,0.115,7.604734345563904e-16
GTF2I,4.886613605447826e-20,0.5311845659319021,0.974,0.938,8.788574569397915e-16
MGST1,5.073698030192033e-20,0.7758388083977282,0.528,0.178,9.125045907300372e-16
CHL1,6.675137287872341e-20,0.6277313171882246,0.753,0.476,1.2005234412238404e-15
MIAT,8.25436850177607e-20,0.7648672625501293,0.737,0.452,1.484548175044426e-15
IDI1,9.000172160474069e-20,0.6074680047697261,0.645,0.322,1.6186809630612613e-15
AL627171.2,9.189842894041466e-20,-0.6312575469969502,0.285,0.596,1.6527932444933576e-15
MAL,1.1843398356478855e-19,-0.2889026972049045,0.027,0.192,2.130035194412722e-15
PFN2,2.0533674968018048e-19,0.5437310522389165,0.946,0.822,3.692981442998046e-15
CNTN1,2.3353277079123987e-19,0.6245572306793243,0.731,0.452,4.200086882680449e-15
CFL1,2.804150797131843e-19,0.47030322682523673,0.995,0.986,5.043265208641619e-15
COX6A1,2.929174050801457e-19,0.4892860635223033,0.986,0.947,5.26811953036642e-15
NTRK2,3.115768577690015e-19,0.6905626467746722,0.821,0.505,5.603709786975492e-15
HOXB3,3.3601766646375855e-19,0.5630739678755656,0.62,0.288,6.043277731350697e-15
GDI1,4.3308492324766266e-19,0.5453242031336631,0.952,0.837,7.789032344609213e-15
SREBF2,4.875827529718122e-19,0.5717637738510654,0.823,0.572,8.769175812198043e-15
YWHAQ,8.20258412115732e-19,0.5456905822073543,0.975,0.942,1.4752347541901442e-14
BEX1,1.215229353063824e-18,0.6723868265342303,0.913,0.769,2.1855899914852873e-14
FTH1,1.3118786069001167e-18,0.3846403259475526,1,1,2.3594136745098598e-14
MAGED1,1.5261598318238923e-18,0.47698842960988097,0.963,0.942,2.7447984575352703e-14
CAMTA1,1.8285228386084187e-18,0.5369648576880904,0.783,0.476,3.288598325237241e-14
HOXB-AS3,2.170814145968878e-18,0.567618105626799,0.517,0.178,3.904209241525027e-14
KLC1,2.1777961299949862e-18,0.6024915098192032,0.916,0.784,3.9167663397959826e-14
PTPRZ1,2.4672677623488586e-18,0.6369443282038112,0.6,0.274,4.437381070584422e-14
SLIT1,2.6188076429359943e-18,0.6184338161828127,0.76,0.471,4.709925545820386e-14
TKTL1,2.939431614335299e-18,0.6947010919003485,0.336,0.034,5.286567758382035e-14
STMN1,3.38679119602976e-18,0.577476546408529,0.994,0.986,6.091143966059523e-14
TUBB3,4.119331779381296e-18,0.7936600832585661,0.92,0.798,7.40861820521726e-14
HSPA8,4.909735372242859e-18,0.4781339978362009,0.998,0.981,8.830159066978782e-14
AUTS2,5.0626669342765035e-18,0.6274424604366564,0.61,0.308,9.105206481296291e-14
ATP5ME,5.658794063058992e-18,0.4103426510238215,0.994,0.971,1.0177341122411597e-13
RTN3,6.4721410758960755e-18,0.5622965124655448,0.947,0.851,1.1640145724999093e-13
MARCKS,7.085622117141495e-18,0.4516939310142307,0.992,0.981,1.2743491377678978e-13
FADS2,8.649596622645552e-18,0.5593551581890288,0.718,0.433,1.5556299525828025e-13
TNC,9.192760102064783e-18,0.6372455759381059,0.453,0.139,1.6533179043563513e-13
SCD5,1.0849589088103339e-17,0.5855288187032619,0.716,0.442,1.9512985974953855e-13
INPP5F,1.1584771158721682e-17,0.5852075892424278,0.527,0.197,2.0835210928960945e-13
LRP4,1.621915254163042e-17,0.6541532157264882,0.462,0.149,2.917014584612231e-13
