gene_name,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
HSPA8,1.301643040805458e-29,0.5444246612378159,0.998,0.983,2.3460814167477577e-25
NDFIP1,1.8176830440321202e-29,0.5986888179668288,0.946,0.774,3.276191918563493e-25
ADGRG1,2.3385716096046296e-29,0.8225230051288837,0.773,0.473,4.215041469151384e-25
CAMTA1,4.0994264995420563e-29,0.6199234410956658,0.784,0.459,7.388806322774602e-25
BASP1,4.199200639596794e-29,0.8966658910949299,0.922,0.801,7.568639232809261e-25
ACLY,4.9364822548356356e-29,0.6727894600623108,0.749,0.429,8.89751561611575e-25
ATP5F1E,5.604744537067398e-29,0.46725449455780366,0.998,0.997,1.010199155361028e-24
PAK3,7.494154227095588e-29,0.8056538830403981,0.554,0.206,1.3507463578917087e-24
GTF2I,1.0403368234378337e-28,0.5707101662677578,0.976,0.912,1.8751030905643515e-24
DPYSL2,1.9546663436794543e-28,0.6499541950677239,0.983,0.932,3.523090617847848e-24
INPP5F,2.0225563299828836e-28,0.7023102669916954,0.53,0.169,3.64545552916115e-24
PPP2R1A,3.4187185594412166e-28,0.5755252067057846,0.948,0.872,6.161898331536849e-24
SPTAN1,8.471640938593845e-28,0.6379483276898248,0.965,0.878,1.5269285627721548e-23
MSMO1,8.4832576139861e-28,0.6893756104428602,0.734,0.439,1.5290223523448547e-23
BLCAP,1.28352907044225e-27,0.6143947885025756,0.862,0.598,2.3134327965651113e-23
DKK1,1.4590231135712035e-27,-0.5127510245586575,0.101,0.372,2.6297432599007372e-23
BEX2,1.535464029506258e-27,0.6826516815784954,0.797,0.51,2.7675203667820796e-23
SDC3,1.7324814001482837e-27,0.608735957479009,0.909,0.693,3.1226244756272666e-23
DYNC1H1,2.311514455595055e-27,0.617459953661956,0.868,0.652,4.1662736547645274e-23
STMN3,2.3439586724088495e-27,0.7158491415327142,0.807,0.5,4.2247511111497103e-23
FDFT1,3.725839183075189e-27,0.5889658003719236,0.725,0.426,6.71545254357472e-23
CLASP2,4.085831252029532e-27,0.6686951991914045,0.709,0.409,7.364302248658029e-23
UBE2QL1,5.9969656999349e-27,0.7733745567332666,0.65,0.334,1.0808930977562665e-22
CAMK2N1,7.532745390068293e-27,0.7230173263701767,0.755,0.486,1.357702029105909e-22
TXN,7.623980906397428e-27,0.568767289911996,0.888,0.686,1.3741463185690723e-22
YWHAH,4.644580781878752e-26,0.750268487632433,0.863,0.652,8.371392401258262e-22
MAP1B,6.338131724280983e-26,0.594441751967425,0.999,0.983,1.1423848619844043e-21
SARAF,6.741860995264179e-26,0.5813038389380645,0.959,0.889,1.2151530257864157e-21
OCIAD1,7.179842289458923e-26,0.5788390105814787,0.914,0.76,1.2940947742520763e-21
PFN2,8.445690636284318e-26,0.5473433398177288,0.946,0.821,1.5222512802838854e-21
NDUFA1,9.637597131451346e-26,0.5309053664611803,0.927,0.794,1.7370805069727906e-21
USP22,1.5602394239586007e-25,0.5613062715539603,0.935,0.787,2.812175537742982e-21
LSS,1.9230106488643282e-25,0.5857891104894618,0.652,0.324,3.466034393513065e-21
HES6,2.16715406473253e-25,0.6113100862758291,0.641,0.287,3.906078486273912e-21
SREBF2,2.5462758946867495e-25,0.5880485165682419,0.821,0.568,4.589407672583397e-21
SST,2.562791002491665e-25,0.7053495892086296,0.343,0.034,4.619174502890977e-21
MYL6,2.703395992368868e-25,0.4426400943973774,0.999,0.993,4.8726009366456476e-21
ATP5F1B,3.1741203395265287e-25,0.5118570712788331,0.975,0.912,5.721034499962615e-21
EVL,3.3528942050488166e-25,0.6215377433172788,0.935,0.818,6.043256515179987e-21
DDX5,3.431395013950107e-25,0.5461445178153306,0.976,0.905,6.184746373143673e-21
HSBP1,7.571481190903636e-25,0.46755617013948414,0.965,0.902,1.3646837698484715e-20
PTN,7.601550142455259e-25,0.9014714514991344,0.988,0.926,1.3701033976761358e-20
CLSTN1,8.389557729456659e-25,0.550630418831872,0.928,0.767,1.5121338851572684e-20
CNTN1,9.297608857392055e-25,0.6313187231162867,0.735,0.483,1.675801020456344e-20
WSB2,9.570048312788371e-25,0.6393225276102771,0.667,0.365,1.7249055078969762e-20
DCLK2,1.0749721642986087e-24,0.6062842153188259,0.618,0.307,1.9375298289318122e-20
TMOD2,1.6840067347439767e-24,0.6577510444155672,0.508,0.186,3.035253738702544e-20
PEG10,1.7586020327070783e-24,0.6678212210831633,0.888,0.78,3.169704303751238e-20
IDI1,3.3060571485105158e-24,0.5872644419756554,0.647,0.345,5.958837404475354e-20
MAP4,3.549514350952377e-24,0.5413150109940066,0.763,0.466,6.397644666156564e-20
AUTS2,4.1753962509935425e-24,0.6538879314184527,0.609,0.311,7.525734202790761e-20
ATP9A,6.620783693308945e-24,0.6275403165628965,0.721,0.419,1.1933300528820042e-19
FDPS,6.930672569283508e-24,0.5664320343313084,0.719,0.432,1.2491844238876594e-19
ANK2,8.198233240119165e-24,0.5256771465736172,0.916,0.747,1.4776495591990784e-19
ATP5ME,1.252635963864619e-23,0.4280710395065688,0.994,0.966,2.2577510612695895e-19
TTYH1,1.3284964159752852e-23,0.67286594112384,0.712,0.419,2.394481940153854e-19
HOPX,1.6219026581211956e-23,0.8561928470446705,0.544,0.247,2.923317350997643e-19
PPIA,1.6354921254789212e-23,0.44643357463313826,0.998,0.986,2.9478110069632077e-19
MAGED1,1.708633545666959e-23,0.4760457978742032,0.965,0.926,3.079641102710127e-19
SYT4,1.722170583027401e-23,0.7575651970579269,0.705,0.405,3.1040402588485877e-19
GNG2,1.9403981933966254e-23,0.6689534570860967,0.742,0.497,3.4973737037780777e-19
VSTM2L,2.077945302009704e-23,0.6852877483473772,0.584,0.291,3.7452886123422907e-19
FASN,2.8790026484951146e-23,0.6204034111329229,0.766,0.507,5.189114373647595e-19
RUFY3,7.732340653722307e-23,0.5502827712133258,0.769,0.507,1.3936770794269086e-18
DPYSL5,7.784369573705373e-23,0.6115821638197729,0.826,0.574,1.4030547719646565e-18
PIP4K2B,8.203366266979245e-23,0.5919469962760762,0.705,0.443,1.4785747359603391e-18
HOXB3,9.596889668350052e-23,0.5838254125708309,0.622,0.331,1.7297433938234135e-18
MAL,9.649616720086367e-23,-0.28046022747496296,0.026,0.196,1.739246917628367e-18
SOX11,1.078765153823268e-22,0.5691772293667912,0.73,0.47,1.944366313251058e-18
MARCKS,1.2217201475821892e-22,0.4478125008577405,0.992,0.97,2.202028394002138e-18
KIF5C,1.2308479319249134e-22,0.6689488598585882,0.723,0.459,2.218480312501464e-18
GPC1,1.441006945628615e-22,0.5175723204334992,0.725,0.429,2.597270918801016e-18
KIF1A,1.5629431401743065e-22,0.6225975037485757,0.782,0.541,2.81704871585017e-18
HOXB9,1.5833736618125423e-22,0.6199412559944513,0.588,0.28,2.853872688050926e-18
C4orf48,1.7549156601135055e-22,0.5078476876117761,0.951,0.858,3.1630599857885822e-18
ATP5MD,2.1653663665506304e-22,0.4804710977901627,0.975,0.912,3.902856339070856e-18
SNAP25,2.574560813676443e-22,0.6795791919593352,0.668,0.355,4.640388410570421e-18
LINC00461,2.624053720757695e-22,0.5941538556754572,0.652,0.368,4.72959442629367e-18
GNG4,2.8080017319153908e-22,0.631973154990012,0.543,0.22,5.0611423216043e-18
FXYD6,3.828321052623558e-22,0.5150457035581497,0.934,0.75,6.900165865248701e-18
FHL1,3.8660370805647416e-22,0.5297973384309634,0.843,0.642,6.96814523400989e-18
CHCHD2,6.121325620280006e-22,-0.49709008968841784,0.245,0.534,1.1033077297992682e-17
SCD5,6.346354703317579e-22,0.577326326952649,0.719,0.473,1.1438669717259605e-17
ADCY1,7.017732916721891e-22,0.5772278160442565,0.522,0.22,1.2648761809099536e-17
NRCAM,7.355215708339409e-22,0.5642809148913095,0.475,0.169,1.325704079271095e-17
PAMR1,7.778298270126632e-22,-0.6768661534412231,0.297,0.591,1.4019604802076242e-17
SLC38A1,8.06941413055324e-22,0.572622377641168,0.566,0.267,1.4544312028909158e-17
HOXB-AS3,8.318224106577481e-22,0.5427347125179356,0.524,0.206,1.4992767129695252e-17
SAMD11,8.541482127573662e-22,-0.7258997234209259,0.342,0.608,1.5395167386738768e-17
PACS2,8.730392533047373e-22,0.5330305286063932,0.687,0.392,1.5735659501564585e-17
KCNJ2,1.3240411089296051e-21,-0.28145648448151567,0.036,0.213,2.3864516947347202e-17
COX5B,1.4882871293975463e-21,0.48352348585428717,0.929,0.804,2.6824887220261374e-17
ZMIZ1,1.701627880855674e-21,0.6023375645934033,0.731,0.483,3.0670140924542664e-17
CALM3,1.7583310145690797e-21,0.5455286210547459,0.942,0.851,3.1692158206593094e-17
CHD3,2.4329661002368114e-21,0.5468534535135277,0.665,0.389,4.385178099066829e-17
RPS6,3.1090123927199354e-21,-0.4920070318873848,0.998,1,5.603683936638412e-17
MAP7D1,3.7600772088135164e-21,0.5550676884287199,0.733,0.453,6.777163161165481e-17
RPS27,6.1939661051579174e-21,-0.5105598032923213,1,1,1.116400450793663e-16
TMEM161B-AS1,6.500808391112867e-21,0.5643120223976446,0.637,0.351,1.1717057044141832e-16
SYT1,7.865944969974642e-21,0.5295798615473621,0.54,0.23,1.4177579213882295e-16
ATXN10,7.974521919432342e-21,0.5197970727300713,0.783,0.541,1.4373278307584853e-16
CHL1,1.1390915291866332e-20,0.5518434444582211,0.754,0.527,2.0530985722059876e-16
MAP6,1.2338195330998866e-20,0.5580413792413361,0.749,0.52,2.2238363264592355e-16
OAZ1,1.2716352378377116e-20,0.42516323923271226,0.972,0.939,2.2919953526786915e-16
POSTN,1.2914328332120263e-20,-0.5253361985397722,0.439,0.733,2.327678538581356e-16
SKP1,1.391460512030078e-20,0.4488736319490698,0.986,0.943,2.5079684268830127e-16
HMGCR,1.4444151199664813e-20,0.6264116414408729,0.616,0.368,2.603413812227586e-16
APC2,1.6401471705541998e-20,0.5592281798677569,0.748,0.547,2.9562012602068897e-16
ATP2A2,2.5209877511164512e-20,0.4540632818961794,0.867,0.666,4.543828322612291e-16
NDUFB2,2.6239848314427704e-20,0.4750455174861994,0.904,0.74,4.729470260192449e-16
ACAT2,4.472520411229068e-20,0.565670784621857,0.506,0.223,8.061270789199272e-16
H3F3B,4.847944989593503e-20,0.4125657795655915,1,0.973,8.737936049243329e-16
CKB,9.008206947041313e-20,0.447352532820533,0.994,0.959,1.6236392201347262e-15
UQCRQ,9.280861168256598e-20,0.4307376059893375,0.987,0.949,1.6727824169665694e-15
VDAC3,9.400176112377047e-20,0.5146904460407549,0.691,0.429,1.6942877424948389e-15
MAPT,9.621637374772177e-20,0.6790183134274268,0.634,0.355,1.7342039204289373e-15
SNCA,1.0472458455142031e-19,0.6549995203303265,0.546,0.267,1.8875559119548e-15
ATP6V0E2,1.0896288914956868e-19,0.5626017195868203,0.739,0.517,1.963947114031826e-15
ZIC1,1.239310644951408e-19,0.5996719695488362,0.796,0.547,2.233733506460418e-15
PCBP4,1.306682161450868e-19,0.5234313117479885,0.637,0.348,2.3551639277990444e-15
CAMK2N2,1.3192789615527838e-19,0.61931490203934,0.615,0.341,2.3778684003027376e-15
HOXB5,1.7569967416939912e-19,0.547459964762439,0.641,0.355,3.1668109272292496e-15
TCEAL7,2.0238985034942306e-19,0.47517614314076745,0.477,0.186,3.647874662698001e-15
FYN,2.2380819643333973e-19,0.491520232280228,0.685,0.416,4.0339189325145155e-15
PARP6,2.5526797686245126e-19,0.48714995385230686,0.628,0.324,4.600950014968822e-15
"NAP1L3",2.6789220169209037e-19,0.59179396938281,0.582,0.318,4.828489043298237e-15
C1QL1,2.76274384389836e-19,-0.49659017613028844,0.613,0.848,4.979569504242405e-15
CDKN2D,2.8100241199328094e-19,0.645674016093357,0.661,0.399,5.064787473766896e-15
VSNL1,3.403191766565088e-19,0.6780639150204477,0.553,0.28,6.1339128400569145e-15
UBC,4.489185951444451e-19,0.37457220220236165,0.999,0.993,8.091308758883479e-15
SLIT1,4.567485111958047e-19,0.5480418742983649,0.761,0.534,8.232435165793185e-15
KIF3C,6.993871073741381e-19,0.6042596528672667,0.628,0.385,1.2605753223311465e-14
SV2A,7.051376886985503e-19,0.5726639880428228,0.614,0.328,1.270940170110267e-14
