gene;p_val;avg_log2FC;pct.1;pct.2;p_val_adj
ACTB;1,21868317300911e-23;0,458205928276725;1,000;0,997;2,19180168665689e-19
RPS10;1,98446042629057e-23;-0,334519476563368;0,998;1,000;3,56905207668359e-19
MYL6;2,10096185181921e-23;0,447094367039859;0,996;0,977;3,77857989049685e-19
DCN;2,97939487115116e-23;0,577565314248496;0,927;0,836;5,35844167576536e-19
RPL21;4,18703754547831e-23;-0,324857300280833;1,000;1,000;7,53038702554274e-19
RPL3;4,31549261574741e-23;-0,342877164626455;1,000;1,000;7,76141346942171e-19
EEF1A1;4,59712441336939e-23;-0,291066885536857;1,000;1,000;8,26792825744484e-19
NDUFA1;5,72971839357177e-23;0,498303188507141;0,901;0,765;1,03048985308388e-18
HOPX;5,94725168799500e-23;0,659054593294174;0,443;0,138;1,06961321608590e-18
MYLPF;5,98223449024614e-23;0,574697062148340;1,000;0,993;1,07590487307077e-18
MYL5;6,10620504655658e-23;0,704178943979226;0,430;0,134;1,09820097762320e-18
TIMP2;6,83229161470371e-23;0,551646732674370;0,770;0,527;1,22878764690446e-18
NEB;8,08816488702331e-23;0,694266060352727;0,833;0,597;1,45465645493114e-18
RPS3A;1,27454438762211e-22;-0,311875239293629;1,000;1,000;2,29226808113837e-18
FABP7;1,46387857250879e-22;0,617773152813396;0,556;0,238;2,63278561265706e-18
MAGED1;1,61627650601891e-22;0,487519997023077;0,938;0,829;2,90687329607502e-18
CCNL2;1,66975344218006e-22;0,579576988041625;0,809;0,594;3,00305156576084e-18
PLEC;3,01038452568181e-22;0,515377541096608;0,738;0,446;5,41417656943874e-18
GPM6A;3,52447540801280e-22;0,540024813032846;0,350;0,064;6,33876902131102e-18
TUBB2A;4,28349215883949e-22;0,554574912310493;0,838;0,661;7,70386064767282e-18
CHCHD2;5,38708621278500e-22;-0,410849259284354;0,134;0,376;9,68867455369383e-18
S100B;6,78899979447756e-22;0,664317811450842;0,420;0,128;1,22100161303679e-17
ITM2B;1,33471080691136e-21;0,495413046634824;0,949;0,846;2,40047738623007e-17
SQSTM1;1,45697144406068e-21;0,526304295465048;0,546;0,248;2,62036314214314e-17
DST;3,21196227208273e-21;0,487598497917300;0,581;0,275;5,77671414634079e-17
COL15A1;3,75052653780675e-21;0,593141942471267;0,437;0,148;6,74532197824543e-17
PHLDB1;6,31672241099945e-21;0,565345080033179;0,552;0,262;1,13606252561825e-16
FN1;7,44972718143285e-21;0,647014332790580;0,920;0,826;1,33983343358070e-16
LAMA2;7,51069242994905e-21;0,527259702136517;0,444;0,154;1,35079803352634e-16
RYR1;7,54388616262011e-21;0,696660054596453;0,768;0,540;1,35676792634723e-16
SRSF6;7,81376681178136e-21;0,510300650543953;0,663;0,376;1,40530596109888e-16
SRSF5;8,00010849136653e-21;0,559177581670138;0,774;0,534;1,43881951217227e-16
SRPK3;1,13612102528294e-20;0,645982227250583;0,542;0,252;2,04331366397136e-16
GOLGA8A;1,17041585900588e-20;0,581281674533178;0,639;0,352;2,10499292242208e-16
TMSB4X;1,30002588395435e-20;0,442053525863171;1,000;0,993;2,33809655229190e-16
MALAT1;1,38877422505602e-20;-0,590819868947481;0,786;0,916;2,49771044376326e-16
MT-CO2;1,93304468086842e-20;0,318374447628223;1,000;1,000;3,47658085854185e-16
COX5B;2,05044599474974e-20;0,450119239708270;0,932;0,758;3,68772712155741e-16
SELENOW;2,56321550894610e-20;0,409333244780786;0,999;0,993;4,60994309283956e-16
GPM6B;2,81212026361759e-20;0,537496168162653;0,455;0,168;5,05759829411624e-16
UQCRQ;3,61919311491632e-20;0,394835320783284;0,992;0,966;6,50911881717700e-16
SRRM2;4,00316588612743e-20;0,498012281262774;0,821;0,591;7,19969384620018e-16
TMEM259;4,01234866588907e-20;0,523716973389012;0,623;0,339;7,21620907560150e-16
RTN4;4,98855325778226e-20;0,467777880675070;0,897;0,748;8,97191303412139e-16
KLHL41;7,67464486692112e-20;0,560617180550604;0,929;0,765;1,38028487931576e-15
NUMA1;1,21823488311031e-19;0,504557590696732;0,599;0,312;2,19099543727388e-15
OAZ1;1,74989304972701e-19;0,424964955201502;0,967;0,876;3,14718264993403e-15
BCAN;3,47891969315008e-19;0,552278566883041;0,414;0,141;6,25683706813041e-15
TNNC2;3,56196286875568e-19;0,560111093068401;0,999;0,966;6,40619021945708e-15
TTN;4,20196067616348e-19;0,577984097654196;0,963;0,826;7,55722627608001e-15
PDLIM3;4,58111533154195e-19;0,499949176870624;0,592;0,302;8,23913592377820e-15
RTF2;6,04962363923716e-19;0,513173270169878;0,570;0,292;1,08802481151680e-14
SNHG9;7,06491220678231e-19;0,473930379839231;0,565;0,282;1,27062446038980e-14
SF3B1;8,69938511975925e-19;0,527170529764216;0,692;0,450;1,56458441378870e-14
TMA7;9,41109309933953e-19;0,393398954036607;0,990;0,970;1,69258509391622e-14
TNNT2;1,14741343085265e-18;0,655661485014222;0,960;0,872;2,06362305538850e-14
DBI;1,29625977414024e-18;0,511140036773239;0,797;0,554;2,33132320379123e-14
LRIG1;1,40785047841342e-18;0,516639017177729;0,577;0,315;2,53201908542653e-14
NDUFA4;1,46664845826224e-18;0,392298585319927;0,982;0,940;2,63776725218465e-14
TTYH3;1,46729894408865e-18;0,481489406403033;0,634;0,352;2,63893715094343e-14
RPL26;1,58809895893479e-18;-0,283528756006368;1,000;1,000;2,85619597764422e-14
CAPN6;1,72456341382888e-18;0,570090490204494;0,690;0,430;3,10162729977123e-14
ATP5F1B;1,90703733677684e-18;0,407147983443098;0,952;0,862;3,42980665019314e-14
TPM3;2,17133395445026e-18;0,567201331695710;0,714;0,483;3,90514411707879e-14
EWSR1;2,66507780566710e-18;0,473339808272750;0,583;0,299;4,79314243349228e-14
SERF2;3,42850348206712e-18;0,348325424494117;0,999;0,997;6,16616351249771e-14
RPL5;3,58788219418671e-18;-0,282283616659183;1,000;1,000;6,45280612624480e-14
WDR6;3,67807548582360e-18;0,485541640648638;0,604;0,329;6,61501876125375e-14
TTYH1;4,34376530362923e-18;0,492258895650813;0,409;0,141;7,81226189857717e-14
HINT1;4,71531871706443e-18;0,385154318920665;0,991;0,973;8,48050071264038e-14
UBB;5,70298241112861e-18;0,379313595635574;0,992;0,943;1,02568138664148e-13
SNRNP70;6,11430368816959e-18;0,511776839959137;0,764;0,567;1,09965751831730e-13
ANK2;6,42029434085756e-18;0,430974135148786;0,658;0,383;1,15468993720323e-13
GTF2I;8,52828661648785e-18;0,431363118794579;0,890;0,775;1,53381234797534e-13
MACF1;8,95133751771131e-18;0,491581477801679;0,784;0,574;1,60989805256038e-13
NEAT1;9,36464305711613e-18;0,499468930282447;0,394;0,131;1,68423105382234e-13
PXDN;9,44108391146191e-18;0,487324899715219;0,627;0,356;1,69797894147642e-13
SLC1A3;1,09783186880025e-17;0,505199885061717;0,407;0,148;1,97445061603724e-13
PXN;1,14964778363658e-17;0,514569178946773;0,534;0,262;2,06764153887039e-13
ANKRD10;1,27065306338719e-17;0,498439291812986;0,619;0,356;2,28526953450186e-13
LAMB2;1,50915253961594e-17;0,460461940479312;0,540;0,268;2,71421084249926e-13
ITGA7;1,64421077570893e-17;0,565037955769779;0,491;0,235;2,95711308011252e-13
OCIAD1;1,72510837479319e-17;0,446885579013416;0,765;0,570;3,10260741206555e-13
MAP4;2,08931610893334e-17;0,436148512732925;0,712;0,470;3,75763502191660e-13
COL6A2;2,62552394683841e-17;0,516921743873185;0,912;0,792;4,72200481838887e-13
SRP14;3,05045991060903e-17;0,370977566677824;0,956;0,916;5,48625214923035e-13
MFAP4;4,92739576442200e-17;0,569068389530578;0,595;0,346;8,86192128231296e-13
CSRP3;7,17911306374085e-17;0,542114791322026;0,289;0,060;1,29116348451379e-12
CACNB1;9,66058562263119e-17;0,586918765433675;0,622;0,403;1,73745632423022e-12
SCARB2;9,68865280502092e-17;0,414295078411713;0,499;0,232;1,74250420698301e-12
NDUFV1;1,08316317291049e-16;0,408700342456048;0,612;0,322;1,94806896647952e-12
SUGP2;1,12791092388275e-16;0,464076130864037;0,557;0,299;2,02854779660313e-12
ARL6IP5;1,31241735236388e-16;0,445254061727814;0,452;0,195;2,36038260822644e-12
LUM;1,47635433239093e-16;0,455720024341437;0,717;0,440;2,65522326680510e-12
SMARCD3;1,84120535378014e-16;0,460291593247378;0,637;0,403;3,31140782877358e-12
PLCD3;1,88293503898645e-16;0,356300387082530;0,275;0,050;3,38645866761713e-12
CKB;2,06636612571972e-16;0,446694390633902;0,932;0,852;3,71635947710691e-12
MMP2;2,43109730289152e-16;0,454906331408958;0,662;0,406;4,37232849925040e-12
COX7B;3,60634117084659e-16;0,380347275637531;0,915;0,768;6,48600459576759e-12
RPS19;3,66278619525938e-16;-0,265957852613960;1,000;1,000;6,58752097217399e-12
RPL8;4,27957635458345e-16;-0,267668081030455;1,000;1,000;7,69681807371833e-12
LINC01578;4,66407788027626e-16;0,437876344097400;0,542;0,282;8,38834406767686e-12
ZFAND5;5,35131209898544e-16;0,432733576217107;0,609;0,359;9,62433481002531e-12
ADGRG1;5,42612176447540e-16;0,424469044898398;0,340;0,104;9,75887999340900e-12
PABPN1;5,49981023645508e-16;0,439455299362233;0,501;0,248;9,89140871026446e-12
LMNA;6,29899696011138e-16;0,428416141794905;0,616;0,352;1,13287460327603e-11
COX17;6,69708149286469e-16;0,437049340906830;0,674;0,413;1,20447010649171e-11
LDB3;8,55678399042726e-16;0,584282325635206;0,530;0,289;1,53893760067834e-11
MAGED2;9,22678080925551e-16;0,378092115355369;0,960;0,926;1,65943652854460e-11
ATP5IF1;9,28781590019885e-16;0,382358540007387;0,859;0,664;1,67041368965076e-11
RPL23A;9,36557901850155e-16;-0,303377385178071;1,000;1,000;1,68439938647750e-11
SPON2;1,13565642470818e-15;0,304656775942194;0,185;0,000;2,04247807983767e-11
UQCR11;1,17433070481866e-15;0,365280132405580;0,988;0,973;2,11203377261635e-11
HNRNPDL;1,20465298841632e-15;0,422061836475830;0,924;0,856;2,16656839966676e-11
MARCKS;1,43432919290256e-15;0,430694448698087;0,919;0,795;2,57964105343525e-11
LTBP3;1,44156767566810e-15;0,444990531716872;0,504;0,252;2,59265946468908e-11
UBC;1,50372780530369e-15;0,344265434546900;0,988;0,960;2,70445445783868e-11
TOMM7;2,31059680140384e-15;0,358113081036906;0,976;0,960;4,15560834732480e-11
