gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
HNRNPA2B1,9.99205925849126e-24,0.51286224664815006,0.977,0.923,1.797071857639653e-19
CIRBP,1.1750080973251961e-23,0.49577121821578496,0.97,0.909,2.113252063039365e-19
ACTB,1.2186831730091147e-23,0.45820592827672524,1,0.997,2.1918016866568926e-19
RPS10,1.9844604262905715e-23,-0.3345194765633681,0.998,1,3.569052076683593e-19
MYL6,2.100961851819212e-23,0.4470943670398593,0.996,0.977,3.7785798904968525e-19
DCN,2.97939487115116e-23,0.5775653142484958,0.927,0.836,5.358441675765362e-19
RPL21,4.1870375454783087e-23,-0.3248573002808328,1,1,7.530387025542738e-19
RPL3,4.315492615747405e-23,-0.3428771646264548,1,1,7.761413469421708e-19
EEF1A1,4.597124413369388e-23,-0.291066885536857,1,1,8.267928257444844e-19
NDUFA1,5.729718393571768e-23,0.49830318850714095,0.901,0.765,1.0304898530838825e-18
HOPX,5.947251687994995e-23,0.6590545932941736,0.443,0.138,1.0696132160859e-18
MYLPF,5.98223449024614e-23,0.5746970621483403,1,0.993,1.0759048730707684e-18
MYL5,6.106205046556579e-23,0.7041789439792261,0.43,0.134,1.0982009776232008e-18
TIMP2,6.832291614703708e-23,0.5516467326743699,0.77,0.527,1.228787646904462e-18
NEB,8.088164887023307e-23,0.6942660603527269,0.833,0.597,1.4546564549311417e-18
RPS3A,1.2745443876221103e-22,-0.31187523929362904,1,1,2.2922680811383654e-18
FABP7,1.4638785725087928e-22,0.6177731528133961,0.556,0.238,2.632785612657064e-18
MAGED1,1.6162765060189144e-22,0.4875199970230766,0.938,0.829,2.9068732960750176e-18
CCNL2,1.6697534421800615e-22,0.5795769880416248,0.809,0.594,3.0030515657608406e-18
PLEC,3.010384525681812e-22,0.5153775410966083,0.738,0.446,5.4141765694387385e-18
GPM6A,3.524475408012798e-22,0.5400248130328458,0.35,0.064,6.338769021311017e-18
TUBB2A,4.283492158839486e-22,0.5545749123104933,0.838,0.661,7.703860647672815e-18
CHCHD2,5.387086212785004e-22,-0.4108492592843537,0.134,0.376,9.688674553693829e-18
S100B,6.788999794477558e-22,0.6643178114508423,0.42,0.128,1.2210016130367889e-17
ITM2B,1.3347108069113558e-21,0.4954130466348241,0.949,0.846,2.4004773862300734e-17
SQSTM1,1.4569714440606837e-21,0.5263042954650483,0.546,0.248,2.6203631421431396e-17
DST,3.211962272082727e-21,0.48759849791730014,0.581,0.275,5.776714146340785e-17
